'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
1015911,532.28,85.86,1180,1015547,1.73,0.46,2,1015547,180000,170613801,5636.81,943718.4
1032320,523.89,76.26,1160,1031929,1.79,0.42,2,1031929,180000,173361070.1,5727.36,964689.92
1025064,527.64,78.9,1090,1024931,1.75,0.44,2,1024931,180000,172186665,5688.23,954204.16
1018351,530.86,78.04,1070,1018343,1.74,0.45,2,1018343,180000,171085660.2,5652.6,954204.16
1021562,529.32,81.8,1170,1021137,1.76,0.44,2,1021137,180000,171547033.6,5667.83,954204.16
1031256,524.48,78.03,1120,1030840,1.79,0.42,2,1030840,180000,173182812.2,5721.95,964689.92
1015477,532.54,78.49,1130,1015319,1.72,0.46,2,1015319,180000,170571857.9,5635.61,943718.4
1031880,523.98,72.46,1060,1031879,1.78,0.42,2,1031879,180000,173350584.3,5727.68,964689.92
1017266,531.55,79.67,1060,1017266,1.74,0.45,2,1017266,180000,170896916.5,5646.58,943718.4
1026126,527.43,85.47,1210,1025180,1.77,0.44,2,1025180,180000,172228608,5690.48,954204.16
,,,,,,,,,,,,
,,,,,,,,,,,5678.03,954204.16
