'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
1040785,103.94,13.89,234.92,1039867,9.8,0.97,10,1039867,180000,174692761.6,5773.65,975175.68
1042379,103.78,13.27,288.78,1041392,9.81,0.95,10,1041394,180000,174954905.6,5782.12,975175.68
1043727,103.56,12.81,221.46,1043693,9.82,0.92,10,1043693,180000,175342878.7,5794.92,975175.68
1043229,103.8,12.49,386.57,1042027,9.82,0.94,19,1042029,180000,175059763.2,5785.71,975175.68
1046562,103.27,10.75,199.4,1046561,9.84,0.89,10,1046562,180000,175825223.7,5810.84,975175.68
1041632,103.76,12.82,222.98,1041439,9.81,0.95,10,1041439,180000,174965391.4,5782.41,975175.68
1041893,103.82,13.96,223.77,1041097,9.81,0.96,19,1041101,180000,174902476.8,5780.59,975175.68
1045163,103.4,11.98,225.29,1045148,9.83,0.9,10,1045148,180000,175584051.2,5802.96,975175.68
1041936,103.73,12.66,221.66,1041896,9.81,0.95,10,1041896,180000,175038791.7,5784.95,975175.68
1040140,103.99,13.98,231.03,1039295,9.8,0.98,10,1039295,180000,174598389.8,5770.48,964689.92
,,,,,,,,,,,,
,,,,,,,,,,,5783.68,975175.68
