'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
316564,18780,7240,37670,314139,0,0,0,314139,184200,52774830.08,1704.97,286433.28
319633,18660,7190,37580,317443,0,0,0,317443,184200,53330575.36,1721.86,289269.76
317172,18780,7220,37610,314004,0,0,0,314004,184200,52753858.56,1707.4,286842.88
319491,18710,7240,37500,316439,0,0,0,316439,184200,53162803.2,1718.4,288696.32
320054,18600,7170,37340,318040,0,0,0,318040,184200,53435432.96,1729.19,290498.56
318251,18680,7200,37520,316707,0,0,0,316707,184800,53204746.24,1712.76,287744
317440,18580,7060,36820,317432,0,0,0,317432,184200,53330575.36,1725.54,289894.4
319222,18700,7210,37710,316346,0,0,0,316346,183600,53141831.68,1720.33,289013.76
318513,18730,7250,37990,315802,0,0,0,315802,184800,53057945.6,1707.56,286873.6
318177,18640,7180,37300,316231,0,0,0,316231,184200,53131345.92,1717.58,288552.96
316299,18820,7240,37860,313198,0,0,0,313198,183600,52617543.68,1703.42,286177.28
319467,18580,7140,37070,318623,0,0,0,318623,184200,53529804.8,1732.31,291031.04
318904,18720,7180,37500,316547,0,0,0,316547,184200,53183774.72,1721.19,289157.12
316549,18850,7170,37470,313087,0,0,0,313087,183600,52596572.16,1702.68,286054.4
319319,18660,7200,37420,316905,0,0,0,316905,183600,53236203.52,1723.36,289525.76
318452,18700,7220,37510,316204,0,0,0,316204,184200,53120860.16,1717.47,288532.48
317932,18760,7240,37710,315340,0,0,0,315340,184800,52974059.52,1706.65,286720
318699,18690,7170,37500,316846,0,0,0,316846,184800,53225717.76,1716.93,288440.32
318838,18700,7220,37550,316167,0,0,0,316167,183600,53120860.16,1719.44,288870.4
318317,18830,7280,38020,313543,0,0,0,313543,184200,52680458.24,1704.69,286392.32
,,,,,,,,316288.5,184200,53136588.8,1717.525,288542.72
