'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
4064,36940,55800,178200,4280,0,0,0,16215,182400,603484.16,88.81,12523.52
4284,36560,57600,176400,4409,0,0,0,16608,182400,621670.4,91.12,12851.2
5426,27340,52800,179400,5779,0,0,0,16623,182400,814837.76,91.15,12861.44
5024,35070,57600,178200,5409,0,0,0,16572,181200,762664.96,91.13,12861.44
4938,29310,54000,178200,5071,0,0,0,16483,181800,715008,90.57,12769.28
4024,37770,59400,175800,4199,0,0,0,16698,181800,592056.32,91.56,12912.64
4695,27680,51000,180000,4989,0,0,0,16052,182400,703447.04,88.11,12421.12
3970,41470,60600,179400,4145,0,0,0,16184,183000,584448,88.54,12482.56
4488,36990,57000,179400,4686,0,0,0,16726,182400,660725.76,91.71,12933.12
4095,38490,55800,180000,4457,0,0,0,17265,182400,628439.04,94.74,13352.96
,,,,,,,,,,,,
,,,,,,,,,,,91.125,12856.32
