'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
1043618,51.79,6.13,112.62,540172,19.32,2.52,20,1043516,180000,175311421.4,5793.99,975175.68
1045976,51.66,5.59,107.22,540145,19.36,2.44,20,1045975,180000,175720366.1,5807.7,975175.68
1042824,51.82,6.08,119.6,539968,19.31,2.54,20,1042655,180000,175164620.8,5789.27,975175.68
1050640,51.44,4.23,105.67,540213,19.45,2.28,20,1050639,180000,176506798.1,5833.54,975175.68
1041977,51.87,6.37,116.99,540095,19.29,2.57,20,1041736,180000,175007334.4,5784.14,975175.68
1045552,51.69,6.08,116.54,540128,19.35,2.46,29,1045411,180000,175625994.2,5804.56,975175.68
1048025,51.58,5.16,126.46,540154,19.4,2.38,29,1047761,180000,176024453.1,5817.64,975175.68
1043939,51.79,6.16,118.72,540165,19.32,2.52,28,1043445,180000,175300935.7,5793.63,975175.68
1047399,51.62,5.26,122.15,540264,19.38,2.41,20,1047184,180000,175930081.3,5814.4,975175.68
1049460,51.49,4.69,112.46,540163,19.43,2.32,20,1049457,180000,176307568.6,5827.03,975175.68
,,,,,,,,,,,,
,,,,,,,,,,,5806.13,975175.68
