'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
542857,11040,3580,22790,538194,0,0,0,538194,184200,90418708.48,2918.07,490240
540904,11020,3610,22240,536875,0,0,0,536875,184200,90198507.52,2918.44,490301.44
540439,11060,3570,22190,538502,0,0,0,538502,186000,90471137.28,2897.63,486799.36
538611,11080,3610,21970,535647,0,0,0,535647,184200,89988792.32,2910.6,488980.48
533574,11090,3500,21530,533574,0,0,0,533574,184800,89642762.24,2883.64,484454.4
539257,11010,3550,21490,539257,0,0,0,539257,184800,90596966.4,2920.47,490639.36
555390,10960,3610,22390,540922,0,0,0,540922,184800,90880081.92,2923.29,491110.4
551899,10920,3530,21740,543421,0,0,0,543421,184200,91299512.32,2953.33,496158.72
553915,10860,3440,21670,545805,0,0,0,545805,184200,91697971.2,2962.27,497664
554157,10870,3600,22190,542932,0,0,0,542932,184800,91215626.24,2935.59,493178.88
542039,11060,3610,22360,537922,0,0,0,537922,183600,90366279.68,2925.18,491427.84
543557,11070,3700,22870,536933,0,0,0,536933,184200,90208993.28,2917.4,490127.36
543266,11050,3710,22390,539145,0,0,0,539145,184800,90575994.88,2917.67,490168.32
550409,10970,3500,21960,540135,0,0,0,540135,183600,90743767.04,2937.74,493537.28
551048,10940,3420,21450,543570,0,0,0,543570,184200,91320483.84,2951.71,495892.48
539149,11140,3680,22570,532719,0,0,0,532719,184800,89495961.6,2881.43,484085.76
541481,10990,3600,21970,539229,0,0,0,539229,184200,90586480.64,2925.17,491427.84
554813,10980,3590,22260,542121,0,0,0,542121,184200,91079311.36,2947.65,495206.4
537790,11050,3520,22040,537564,0,0,0,537564,185400,90313850.88,2900.33,487260.16
531848,11090,3460,21610,531848,0,0,0,531848,184200,89349160.96,2888.59,485283.84
,,,,,,,,,,,,
,,,,,,,,538823.5,184200,90523566.08,2919.455,490470.4
