'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
57426,20600,10750,45680,57420,0.36,0.75,5,247032,188400,8095006.72,1310.37,184770.56
62124,20440,12610,54600,62121,0.46,0.82,10,247181,188400,8755609.6,1309.9,184698.88
60254,20370,13590,91200,60250,0.5,0.85,10,245366,189000,8493465.6,1295.07,182609.92
56320,20680,11510,47670,56307,0.39,0.77,9,250740,187800,7937720.32,1328.25,187279.36
66194,19120,12430,57000,66228,0.5,0.85,10,244400,190200,9342812.16,1289.12,181770.24
57341,20600,9480,41150,57338,0.3,0.7,9,242726,187200,8084520.96,1291.62,182118.4
66001,19520,12880,64200,65987,0.53,0.86,10,246094,192000,9311354.88,1291.94,182169.6
56448,20470,12760,55200,56436,0.45,0.82,10,250721,186000,7958691.84,1338.03,188661.76
60396,20990,12910,60600,60390,0.46,0.82,10,238026,190200,8514437.12,1260.47,177725.44
74692,18630,12850,54000,74697,0.58,0.89,10,254241,189600,10538188.8,1348.65,190156.8
58992,20110,14680,56400,58979,0.59,0.88,7,241777,190200,8315207.68,1279.88,180469.76
63885,20150,12850,55800,63881,0.5,0.84,8,262135,186000,9007267.84,1392.2,196300.8
61064,19680,15070,53400,60999,0.66,0.92,9,252711,186000,8608808.96,1346.14,189808.64
47678,19980,10920,52800,47694,0.41,0.79,5,242624,186600,6721372.16,1284.21,181084.16
64569,19980,12950,51600,64565,0.52,0.85,9,245401,187800,9101639.68,1304.5,183930.88
60692,20650,11590,51600,60683,0.41,0.79,10,246860,187800,8556380.16,1310.09,184719.36
59719,20470,14390,69000,59698,0.52,0.85,8,253353,186000,8420065.28,1349.29,190248.96
68299,19180,12090,49760,68311,0.5,0.85,9,266750,186600,9636413.44,1423.87,200765.44
58139,20900,12450,59400,58169,0.44,0.81,9,241128,190200,8199864.32,1277.42,180121.6
60418,20010,11340,52800,60406,0.42,0.8,10,259905,189600,8514437.12,1373.57,193658.88
,,,,,,,,,,,,
,,,,,,,,246946,188100,8514437.12,1309.995,184709.12
,,,,,,,,,,,1320.2295,
,,,,,,,,,,,42.03642912,
,,,,,,,,,,,0.031840244,
