'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
67985,19380,14710,54000,67992,0.63,0.9,7,255208,190200,9594470.4,1359.37,191672.32
67071,20910,12290,55800,67082,0.45,0.81,10,284058,187200,9458155.52,1503.26,211957.76
63017,20460,15070,59400,63004,0.58,0.88,9,258168,187200,8881438.72,1368.08,192901.12
82208,19240,17070,64800,82188,0.75,0.93,10,291638,189000,11597250.56,1544.95,217845.76
76710,18870,16800,56400,76695,0.77,0.94,10,291159,189600,10821304.32,1542.47,217487.36
64951,20810,15860,70800,64923,0.6,0.9,9,262518,189000,9154068.48,1388.72,195819.52
82426,19970,16620,90000,82433,0.71,0.93,10,300751,190200,11628707.84,1591.28,224378.88
66500,21490,16130,56400,66490,0.6,0.89,9,299469,189000,9374269.44,1586.55,223703.04
75465,19880,15120,63000,75485,0.62,0.91,10,261349,187800,10643046.4,1383.85,195123.2
63290,20150,14370,46090,63277,0.59,0.88,9,262626,188400,8923381.76,1390.46,196055.04
65388,21090,14260,55200,65370,0.51,0.84,10,258288,190200,9216983.04,1369.08,193034.24
60209,20520,16310,67800,60196,0.66,0.91,10,251026,187800,8493465.6,1330.16,187555.84
67978,19360,17050,69000,67956,0.75,0.94,10,259634,189000,9583984.64,1379.95,194570.24
59674,22090,13440,51600,59665,0.45,0.81,10,282792,189000,8409579.52,1495.77,210903.04
73446,18000,15880,70200,73452,0.75,0.94,10,250913,189600,10359930.88,1330.26,187576.32
64621,20780,16170,56400,64607,0.65,0.91,10,258131,189600,9112125.44,1364.68,192419.84
68322,19890,13870,55200,68297,0.57,0.88,10,268137,189600,9636413.44,1424.07,200796.16
66253,20050,14490,55800,66243,0.59,0.88,10,291286,187800,9342812.16,1538.34,216903.68
65213,20480,15030,50230,65182,0.61,0.9,10,266165,187800,9196011.52,1407.67,198471.68
67870,19800,17180,76200,67877,0.71,0.93,10,261749,190200,9573498.88,1382.6,194938.88
,,,,,,,,,,,,
,,,,,,,,262572,189000,9416212.48,1389.59,195937.28
