'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
890492,2370,686.54,15770,884375,0,0,0,884375,181200,148572733.4,4881.92,820162.56
884623,2420,1000,19020,872381,0,0,0,872381,181200,146559467.5,4815.19,808949.76
911593,2430,674.06,8160,900244,0,0,0,900244,181200,151236116.5,4969.61,834897.92
938101,2340,498.68,4380,938101,0,0,0,938101,181200,157600972.8,5178.34,869959.68
922502,2340,506.64,9120,922367,0,0,0,922367,181200,154958561.3,5091.29,855336.96
870329,2420,620.17,9710,864652,0,0,0,864652,181200,145259233.3,4772.96,801853.44
954431,2300,501.38,5340,954271,0,0,0,954271,181200,160316784.6,5267.83,884992
926188,2370,554.39,7940,924130,0,0,0,924130,181200,155252162.6,5100.8,856934.4
945102,2320,494.92,5050,945085,0,0,0,945085,181200,158775377.9,5217.13,876472.32
938066,2350,501.49,4370,938066,0,0,0,938066,181200,157590487,5177.42,869806.08
,,,,,,,,,,,,
,,,,,,,,,,,5096.045,856135.68
