'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
18401,19840,28260,105000,17006,1.2,0.93,2,66692,180600,2401239.04,369.83,52131.84
11876,27370,26390,95400,11876,0.6,0.88,2,66601,180000,1677721.6,369.39,52080.64
29012,19950,25010,92400,24613,1.18,0.93,2,66800,180600,3470786.56,370.34,52213.76
21152,16930,18170,71400,20355,0.91,0.96,2,66679,180000,2873098.24,369.82,52142.08
19666,19750,24200,84600,18021,1.05,0.95,2,66794,180000,2537553.92,370.5,52244.48
8362,38480,25510,87600,8362,0.34,0.72,2,66629,180000,1174405.12,369.51,52111.36
12649,23320,16720,63000,12649,0.49,0.82,2,66607,180000,1782579.2,369.49,52090.88
30099,19910,24930,89400,25517,1.18,0.94,2,66701,180000,3596615.68,369.97,52172.8
18226,17520,21430,76200,17990,1,0.95,2,66702,180600,2537553.92,370.02,52172.8
14563,22320,18880,72600,14563,0.6,0.88,2,66600,180600,2055208.96,369.28,52070.4
,,,,,,,,,,,,
,,,,,,,,,,,369.825,52136.96
