'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
1983,22240,49520,178200,5625,0,0,0,20431,188400,793128.96,108.33,15267.84
2549,16560,41250,178200,5428,0,0,0,21347,188400,765347.84,112.81,15912.96
1867,19770,46010,178200,4621,0,0,0,20831,189600,651560.96,110.13,15534.08
1880,20350,46960,178200,5033,0,0,0,20083,188400,709652.48,106.58,15032.32
1379,29330,57600,178200,4939,0,0,0,19507,187800,696401.92,103.35,14571.52
1946,22210,49710,178200,4892,0,0,0,19654,187800,689776.64,104.25,14714.88
1929,22710,50280,178200,5036,0,0,0,20068,189000,710072.32,106.24,14981.12
1961,20850,48050,178200,4803,0,0,0,20484,189600,677222.4,108.64,15319.04
1970,21090,48190,178200,4537,0,0,0,20083,189000,639713.28,106.26,14981.12
2157,18340,44170,178200,4784,0,0,0,19950,189600,674539.52,105.58,14878.72
1932,23630,51000,178200,4272,0,0,0,19424,187800,602347.52,103.13,14540.8
1669,16800,41330,173400,4564,0,0,0,20148,189600,643522.56,106.67,15042.56
1634,23290,50970,178200,4263,0,0,0,19759,187800,601088,104.42,14725.12
1722,21390,47950,178200,4391,0,0,0,20130,187200,619130.88,107,15083.52
2456,17470,42900,178200,5703,0,0,0,21532,190200,804126.72,114.02,16087.04
1815,27020,54600,178200,4694,0,0,0,19474,188400,661852.16,103.13,14540.8
1684,24290,52200,178200,4904,0,0,0,20332,188400,691466.24,107.76,15185.92
2212,22050,49440,178200,5353,0,0,0,20382,186000,754769.92,108.28,15278.08
1923,20270,47190,178200,4651,0,0,0,19800,187200,655790.08,105.35,14858.24
2180,18790,44830,178200,5019,0,0,0,19932,190200,707676.16,106.11,14970.88
,,,,,,,,,,,,
,,,,,,,,20083,188400,683499.52,106.42,15006.72
