'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
1778,5000,3.1,5060,4708,0,0,0,16862,188400,663828.48,89.42,12605.44
1756,5000,18.09,5430,4512,0,0,0,16292,187200,636190.72,86.84,12236.8
1587,5000,17.97,5410,4382,0,0,0,15725,189600,617861.12,83.5,11786.24
1378,5000,15.91,5220,4444,0,0,0,16695,189600,626606.08,88.63,12492.8
1796,5000,17.22,5210,4265,0,0,0,17223,191400,601364.48,90.46,12759.04
1776,5000,7.83,5280,4195,0,0,0,15818,186600,591493.12,84.01,11827.2
2090,5000,7.15,5190,5024,0,0,0,16515,189000,708382.72,87.56,12339.2
1265,5000,26.61,5380,3639,0,0,0,16732,186600,513095.68,88.81,12523.52
1554,5000,15.19,5280,4275,0,0,0,17248,188400,602777.6,91.65,12922.88
2128,5000,6.56,5270,4897,0,0,0,16330,189000,690472.96,86.51,12206.08
1865,5000,3.06,5100,4014,0,0,0,15634,190200,565975.04,82.84,11673.6
1842,5000,25.5,5340,4342,0,0,0,15441,187200,612218.88,82.16,11581.44
1643,5000,18.47,5320,4168,0,0,0,17447,190800,587683.84,92.1,12984.32
1577,5000,19.13,5260,4660,0,0,0,17131,187200,657059.84,91.09,12840.96
1487,5000,17.23,5270,4014,0,0,0,15528,187800,565975.04,82.5,11642.88
1106,5000,3.22,5070,2954,0,0,0,16469,187200,416512,87.33,12318.72
3702,5000,1.29,5030,6855,0,0,0,20492,190200,964689.92,108.66,15319.04
2118,5000,2.23,5060,4516,0,0,0,16062,189000,636753.92,84.89,11980.8
1292,5010,28.21,5380,3716,0,0,0,15746,187200,523960.32,83.77,11816.96
1186,5000,30.72,5450,3647,0,0,0,15883,188400,514222.08,84.15,11857.92
,,,,,,,,,,,,
,,,,,,,,16399.5,188400,607498.24,87.085,12277.76
