'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
448,15000,0.91,15010,636,0,0,0,2324,189000,89671.68,12.34,1740.87
237,15000,0.62345,15010,574,0,0,0,2248,190200,80936.96,11.87,1673.29
404,15010,11.49,15080,707,0,0,0,2771,187800,99686.4,14.67,2069.09
440,15000,1.7,15020,694,0,0,0,2742,186000,97853.44,14.58,2056.95
449,15000,6.86,15040,645,0,0,0,2336,186600,90941.44,12.43,1754.66
255,15040,121.47,15780,550,0,0,0,2193,189600,77547.52,11.65,1643.25
383,15000,12.9,15130,637,0,0,0,2376,186600,89815.04,12.63,1780.8
334,15000,7.76,15050,636,0,0,0,2308,189600,89671.68,12.21,1722.17
478,15000,9.83,15070,671,0,0,0,2374,187800,94607.36,12.57,1772.8
389,15000,1.18,15010,809,0,0,0,2825,190200,114073.6,14.97,2109.02
260,15000,1.72,15010,587,0,0,0,2808,187800,82769.92,14.88,2097.41
283,15000,0.66501,15010,519,0,0,0,2586,187200,73175.04,13.77,1940.73
443,15000,2.11,15030,873,0,0,0,2760,190200,123095.04,14.6,2058.85
373,15000,1.77,15010,679,0,0,0,2448,189600,95744,13,1832.4
271,15000,1.03,15010,512,0,0,0,2567,188400,72192,13.72,1934.34
428,15000,0.79301,15010,650,0,0,0,2509,187200,91648,13.3,1875.01
387,15020,62.55,15430,626,0,0,0,2518,189000,88268.8,13.31,1876.16
309,15000,0.88,15010,556,0,0,0,2354,188400,78397.44,12.47,1759.48
355,15000,3.99,15070,600,0,0,0,2641,189000,84602.88,14.03,1977.66
362,15010,64.3,15850,644,0,0,0,2755,187800,90808.32,14.6,2058
,,,,,,,,,,,,
,,,,,,,,2513.5,188400,89743.36,13.305,1875.585
