'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
8696,92400,67800,180000,9442,0,0,0,42804,187800,1331691.52,227.29,32040.96
9524,94200,72600,180000,9718,0,0,0,41295,186600,1373634.56,218.64,30832.64
9870,95400,65400,178200,10291,0,0,0,42148,187800,1447034.88,224.41,31641.6
9612,90600,69000,180000,9978,0,0,0,39916,187200,1405091.84,211.62,29839.36
7913,69600,74400,177600,9851,0,0,0,40249,187200,1384120.32,213.62,30126.08
10701,94200,70800,180000,11055,0,0,0,41339,189600,1562378.24,218.89,30873.6
10282,82800,78000,180000,12108,0,0,0,43058,189000,1709178.88,228.56,32225.28
9008,91200,73800,177600,9317,0,0,0,40157,190200,1310720,211.17,29777.92
8480,90000,72600,180000,9284,0,0,0,41822,187800,1310720,221.94,31283.2
8294,82800,74400,180000,9569,0,0,0,40345,189600,1352663.04,213.64,30126.08
8544,88200,72000,180000,9288,0,0,0,41196,187800,1310720,217.37,30658.56
9766,97200,66000,178200,10079,0,0,0,42163,189600,1426063.36,223.39,31498.24
12570,84000,73800,179400,13078,0,0,0,40844,190200,1845493.76,216.45,30515.2
8158,77400,76200,180000,9889,0,0,0,45033,187800,1394606.08,240.32,33884.16
9830,97200,66000,177600,10184,0,0,0,40840,190200,1436549.12,216.2,30484.48
10908,95400,61200,180000,11286,0,0,0,39883,187200,1593835.52,213.12,30044.16
7130,68400,74400,180000,8831,0,0,0,41742,190200,1247805.44,221.42,31221.76
8777,76800,76200,180000,10042,0,0,0,40517,190800,1415577.6,214.38,30228.48
8207,80400,73200,180000,9366,0,0,0,41899,188400,1321205.76,221.69,31252.48
8977,88800,72000,180000,9502,0,0,0,40030,187200,1342177.28,210.77,29716.48
,,,,,,,,,,,,
,,,,,,,,41245.5,188100,1389363.2,218.005,30745.6
