Delay,Open Liberty,Tomcat,Wildfly,Undertow
,,,,
50ms,9.613514096,1.211945716,-0.296845314,-0.307879577
100ms,15.16958686,0.486643079,-0.346397601,-0.008199111
200ms,17.28035248,0.214194837,0.873408958,-0.080498463
500ms,13.12832781,-0.474788286,-0.79582013,0.142231538
1000ms,7.904386264,0.189829729,0.241073756,1.314438283
1500ms,5.717689239,0.75333866,2.030751378,
2000ms,4.177344563,-0.76818798,0,
2500ms,3.052217297,3.415453527,0.117370892,
3000ms,2.175803865,1.136363636,,
