'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
924651,7020,2820,31410,892140,0.01,0.11,2,892140,186000,149883453.4,4798.57,806164.48
935286,7010,2910,28820,899075,0.01,0.13,2,899075,184800,151047372.8,4868.2,817858.56
943675,6900,2870,29400,904795,0.02,0.14,2,904795,185400,152001577,4884.92,820664.32
932998,7060,2970,28980,895330,0.01,0.13,2,895330,184200,150418227.2,4867.15,817684.48
943797,6980,2860,28690,903076,0.01,0.13,2,903076,184200,151718461.4,4902.65,823644.16
979201,6700,2690,29180,943223,0.01,0.13,2,943223,184200,158460805.1,5128.3,861552.64
972744,6620,2450,22430,950274,0.02,0.14,2,950274,184200,159645696,5158.33,866600.96
950443,7000,2960,27940,905164,0.02,0.15,2,905164,184200,152064491.5,4919.78,826521.6
961863,6760,2710,29240,929876,0.01,0.13,2,929876,184200,156216852.5,5055.28,849285.12
929339,7080,3030,28790,890653,0.02,0.14,2,890653,184800,149631795.2,4823.9,810414.08
945999,7000,2930,28530,901217,0.02,0.14,2,901217,184200,151403888.6,4899.32,823080.96
958863,6740,2510,26780,932668,0.02,0.15,2,932668,184200,156688711.7,5056.48,849489.92
941525,7010,3030,32340,898924,0.02,0.14,2,898924,184200,151015915.5,4881.64,820111.36
932587,7070,2930,30820,893104,0.01,0.11,2,893104,186000,150040739.8,4809.13,807936
926180,7120,2960,28760,888678,0.02,0.15,2,888678,184200,149296250.9,4830.27,811489.28
924475,6990,2990,29610,887560,0.01,0.13,2,887560,184800,149107507.2,4799.38,806297.6
946874,6930,2900,28350,901808,0.01,0.13,2,901808,183600,151508746.2,4903.88,823848.96
931369,6850,2660,26140,901563,0.01,0.13,2,901563,184800,151466803.2,4879.14,819691.52
894765,7210,3060,30450,858387,0.02,0.15,2,858387,183600,144210657.3,4668.73,784343.04
916490,7090,3010,29450,877597,0.02,0.15,2,877597,184200,147440271.4,4763.45,800256
,,,,,,,,,,,,
,,,,,,,,900146,184200,151225630.7,4880.39,819901.44
