'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
1117362,6250,4050,58800,1083284,0,0.05,2,1083284,184200,181990850.6,5888.56,985661.44
1073860,5890,1770,41910,1066763,0,0.06,1,1066763,184200,179212124.2,5799.44,975175.68
1052375,6000,1330,30780,1049110,0,0.03,1,1049110,186000,176255139.8,5634.22,943718.4
1060815,6460,3840,51600,1031904,0,0.04,1,1031904,184200,173361070.1,5607.23,943718.4
1099223,6030,2740,41070,1079098,0.01,0.1,2,1079098,184200,181288304.6,5865.49,985661.44
1029371,6270,2250,39500,1014787,0,0.05,1,1014787,186000,170487971.8,5463.07,922746.88
1135133,6910,7730,110400,1085228,0,0.03,2,1085228,184200,182315909.1,5890.93,985661.44
1008048,6360,2320,44390,996712,0,0.03,1,996712,184200,167447101.4,5411.8,912261.12
1018188,6710,4460,63000,995157,0,0.03,1,995157,184200,167184957.4,5396.96,901775.36
1027988,6130,1640,22010,1024849,0,0.07,2,1024849,183600,172176179.2,5573.38,933232.64
1036764,6460,3540,56400,1016837,0.01,0.1,2,1016837,186000,170823516.2,5466.74,922746.88
1035244,6180,1950,31610,1025578,0,0.03,1,1025578,183600,172302008.3,5577.93,933232.64
1062825,6000,1820,41670,1055490,0.01,0.08,2,1055490,184200,177324687.4,5737.83,964689.92
1004274,6400,1990,39950,993035,0,0.01,1,993035,184200,166828441.6,5392.3,901775.36
1074057,6090,2240,62400,1058333,0.01,0.08,2,1058333,184200,177796546.6,5749.94,964689.92
1056617,6280,3360,57000,1038773,0,0.06,1,1038773,184200,174514503.7,5646.22,943718.4
1052239,6090,2040,44830,1041042,0.01,0.1,2,1041042,184200,174891991,5659.47,954204.16
1041381,6340,2860,75000,1023452,0,0.02,1,1023452,183600,171935006.7,5565.36,933232.64
1021565,6670,4010,61200,993243,0,0.03,1,993243,183600,166859898.9,5402.08,912261.12
1139953,6980,8000,90000,1086354,0,0.02,1,1086354,184200,182504652.8,5895.01,985661.44
,,,,,,,,1035338.5,184200,173937786.9,5620.725,943718.4
