'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
916,7500,8.23,7740,2258,0,0,0,9340,189600,318382.08,49.51,6983.68
687,7500,21.94,7840,2168,0,0,0,7844,186600,305684.48,41.68,5877.76
694,7500,0.83301,7510,1703,0,0,0,7628,189600,240128,40.43,5703.68
851,7500,12.12,7650,2427,0,0,0,8164,187800,342210.56,43.53,6133.76
955,7500,3.7,7560,2511,0,0,0,8502,188400,354048,45.11,6359.04
758,7500,11.57,7660,1947,0,0,0,8718,188400,274524.16,46.24,6512.64
616,7500,3.48,7560,1758,0,0,0,7767,186600,247879.68,41.14,5806.08
781,7500,4.79,7550,2161,0,0,0,8602,189000,304701.44,45.66,6430.72
686,7500,3.51,7560,1904,0,0,0,8475,187200,268462.08,44.95,6338.56
1056,7500,19.32,8120,2390,0,0,0,8602,188400,336988.16,45.52,6410.24
761,7500,2.17,7540,2014,0,0,0,8259,187200,283975.68,43.78,6174.72
523,7500,22.78,8000,1643,0,0,0,7954,186600,231659.52,42.22,5949.44
708,7500,4.83,7620,1654,0,0,0,8066,189000,233216,42.66,6000.64
508,7500,8.93,7620,1637,0,0,0,8052,187200,230819.84,42.71,6021.12
585,7500,6.03,7560,1671,0,0,0,8676,187800,235612.16,45.93,6481.92
505,7510,78.54,8370,1486,0,0,0,7317,187200,209530.88,38.81,5468.16
802,7500,13.77,7740,1998,0,0,0,7982,190200,281722.88,42.1,5939.2
597,7500,11.38,7680,1597,0,0,0,8398,187200,225177.6,44.49,6266.88
844,7500,6.16,7620,2066,0,0,0,8577,190200,291307.52,45.55,6430.72
577,7510,75.05,8480,1707,0,0,0,8460,188400,240691.2,44.81,6318.08
,,,,,,,,,,,,
,,,,,,,,8328.5,188100,271493.12,44.135,6220.8
