'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
360,12500,0.37684,12500,530,0,0,0,1790,187800,74731.52,9.51,1342.63
187,12500,11.67,12570,530,0,0,0,1694,190800,74731.52,8.92,1258
267,12500,0.4885,12500,513,0,0,0,1840,189600,72335.36,9.75,1375.16
204,12500,0.65019,12510,459,0,0,0,1759,186600,64716.8,9.32,1314.56
281,12500,0.40055,12500,512,0,0,0,1987,187200,72192,10.55,1487.78
147,12500,0.9,12510,337,0,0,0,1391,189600,47513.6,7.37,1038.21
147,12500,1.04,12510,313,0,0,0,1782,186600,44134.4,9.47,1335.84
77,12500,0.76377,12510,181,0,0,0,1359,187200,25518.08,7.18,1012
177,12500,0.92,12510,386,0,0,0,1721,186600,54425.6,9.11,1284
219,12500,0.43911,12500,405,0,0,0,1736,189000,57108.48,9.15,1291.36
214,12500,5.39,12560,464,0,0,0,2358,188400,65423.36,12.54,1768.11
276,12500,0.43047,12500,517,0,0,0,1700,189000,72898.56,9.01,1271.22
106,12500,0.85,12510,302,0,0,0,1637,192000,42577.92,8.61,1213.9
200,12500,0.54914,12510,460,0,0,0,1709,190200,64860.16,9.04,1273.96
93,12500,3.97,12520,215,0,0,0,1437,187800,30310.4,7.62,1073.6
239,12500,0.68759,12510,484,0,0,0,2098,188400,68239.36,11.11,1568.1
355,12500,0.44449,12500,751,0,0,0,2664,192000,105891.84,13.99,1973.16
247,12500,1.42,12520,497,0,0,0,1927,189600,70072.32,10.17,1434.88
313,12500,0.62503,12510,627,0,0,0,1825,189600,88401.92,9.66,1362.05
129,12500,2.14,12520,272,0,0,0,1492,190800,38348.8,7.87,1109.93
,,,,,,,,,,,,
,,,,,,,,1747.5,189000,65141.76,9.235,1302.96
