'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
543,12500,11.73,12750,988,0,0,0,3789,189600,139304.96,20.03,2823.53
440,12500,2.86,12550,1095,0,0,0,4275,187200,154398.72,22.66,3199.03
313,12500,2.54,12540,930,0,0,0,4094,188400,131133.44,21.75,3066.52
753,12500,3.09,12550,1275,0,0,0,4150,188400,179773.44,22.1,3112.73
422,12510,42.29,12990,1068,0,0,0,4179,187800,150589.44,22.26,3137.5
721,12500,4.76,12560,1443,0,0,0,4640,190200,203458.56,24.58,3466.74
519,12500,6.78,12550,1032,0,0,0,4375,189000,145510.4,23.13,3259.49
622,12500,6.25,12580,1068,0,0,0,3696,189000,150589.44,19.57,2759.75
697,12500,13.23,12740,1377,0,0,0,4591,189600,194160.64,24.3,3427.81
445,12500,1.03,12510,1130,0,0,0,4157,190200,159334.4,22.06,3109.93
757,12500,2.22,12520,1347,0,0,0,4272,190200,189931.52,22.6,3190.87
641,12510,18.97,12740,1167,0,0,0,4215,188400,164546.56,22.37,3151.42
604,12500,2.16,12520,1241,0,0,0,4448,186600,174981.12,23.58,3322.32
346,12500,6.09,12540,868,0,0,0,4049,186000,122388.48,21.52,3033.84
572,12520,70.3,12860,1078,0,0,0,4007,189000,152002.56,21.32,3006.08
441,12500,0.92,12510,961,0,0,0,4375,187200,135505.92,23.29,3278.16
525,12500,6.81,12560,1110,0,0,0,4382,187200,156508.16,23.28,3281.22
239,12500,20.68,12790,916,0,0,0,4048,189600,129157.12,21.5,3031.06
556,12500,2.04,12530,1027,0,0,0,4376,187800,144803.84,23.14,3262.4
392,12500,0.97,12510,944,0,0,0,4051,189600,133099.52,21.48,3023.46
,,,,,,,,,,,,
,,,,,,,,4197,188700,151296,22.315,3144.46
