'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
177,12500,1.12,12510,384,0,0,0,1657,191400,54149.12,8.78,1237.8
243,12500,1.8,12510,520,0,0,0,2043,189600,73318.4,10.79,1521.71
195,12500,0.70071,12510,426,0,0,0,1960,190200,60067.84,10.36,1460.73
284,12500,1.97,12530,477,0,0,0,1728,187200,67256.32,9.18,1294.43
359,12500,0.45084,12510,742,0,0,0,2052,189600,104622.08,10.86,1531.37
110,12500,0.64638,12500,227,0,0,0,1657,188400,32010.24,8.79,1239.01
186,12500,0.39373,12500,521,0,0,0,1825,189600,73461.76,9.67,1362.72
274,12500,0.63088,12510,566,0,0,0,1869,189600,79810.56,9.88,1394.34
144,12500,5.21,12560,416,0,0,0,1865,189000,58654.72,9.89,1395.95
169,12500,0.51999,12500,356,0,0,0,1469,190200,50196.48,7.78,1098.08
323,12500,3.23,12560,633,0,0,0,1549,185400,89251.84,8.25,1163.35
75,12510,35.85,12740,377,0,0,0,1491,187200,53155.84,7.98,1124.68
665,12510,65.21,12970,1222,0,0,0,2132,189600,172298.24,11.27,1592.75
184,12520,50.37,12860,417,0,0,0,1595,189600,58798.08,8.45,1190.99
114,12500,4.76,12550,366,0,0,0,1948,185400,51609.6,10.34,1457.36
186,12500,0.71663,12500,363,0,0,0,1541,187200,51179.52,8.2,1156.04
154,12500,13.57,12630,364,0,0,0,1645,189000,51322.88,8.73,1230.52
104,12500,0.96,12510,241,0,0,0,1568,189000,33976.32,8.31,1171.74
195,12500,0.95,12510,389,0,0,0,1690,188400,54845.44,8.97,1264.72
154,12500,0.89,12510,382,0,0,0,1672,187200,53862.4,8.89,1253.16
,,,,,,,,,,,,
,,,,,,,,1681,189000,56750.08,8.93,1258.94
,,,,,,,,,,,9.2685,
,,,,,,,,,,,1.045190866,
,,,,,,,,,,,0.112768071,
