'latency_count','latency_avg','latency_stdev','latency_max','req_count','req_avg','req_stdev','req_max', 'Total requests','duration','read', 'reqests/sec', 'transfers/sec'
516,12500,3.76,12550,1026,0,0,0,4129,187800,144670.72,21.89,3086.42
885,12500,1.61,12530,1323,0,0,0,4295,190200,186542.08,22.79,3217.16
874,12500,21.44,12920,1490,0,0,0,4390,188400,210094.08,23.32,3288.94
560,12500,20.95,12700,1077,0,0,0,4319,188400,151859.2,22.97,3239.31
624,12510,22.61,12660,1056,0,0,0,4303,188400,148899.84,22.87,3225.99
372,12510,50.07,12940,1069,0,0,0,4330,188400,150732.8,23.06,3249.73
703,12500,1.13,12520,1072,0,0,0,4120,187800,151152.64,21.81,3075.81
698,12500,0.55741,12510,1036,0,0,0,4056,187800,146073.6,21.55,3038.92
482,12500,0.58762,12510,992,0,0,0,4353,189000,139868.16,23.19,3271.46
791,12500,1.67,12530,1327,0,0,0,4567,189600,187105.28,24.16,3397.02
366,12510,51.22,12970,1057,0,0,0,4277,187800,149032.96,22.68,3197.88
568,12500,2.72,12530,958,0,0,0,4163,189600,135075.84,22.02,3102.73
704,12500,16.31,12780,1273,0,0,0,4226,190200,179496.96,22.37,3151.48
484,12510,35.12,12810,809,0,0,0,4001,187200,114073.6,21.2,2994.48
616,12510,36.39,12780,1091,0,0,0,4282,188400,153835.52,22.65,3194.54
498,12520,60.29,13060,1113,0,0,0,4163,190200,156928,22.06,3110.83
410,12500,4.93,12540,852,0,0,0,3985,187200,120135.68,21.17,2981.88
713,12500,20.55,12800,1327,0,0,0,4658,187200,187105.28,24.79,3493.71
416,12500,0.79005,12510,1018,0,0,0,4131,189600,143534.08,21.94,3097.36
417,12510,26.93,12730,777,0,0,0,4099,187200,109557.76,21.84,3077.58
,,,,,,,,,,,,
,,,,,,,,4251.5,188400,149882.88,22.51,3173.01
